Season,Name,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerId
2015,"Kyle Seager","SEA",98,241,229,68,45,10,0,13,13,35,8,0,44,2,2,0,6,0,0,0.29694323,9785
2015,"Ryan Goins","TOR",60,97,85,18,13,2,2,1,1,12,7,0,23,0,1,4,5,0,0,0.21176471,9807
2015,"Efren Navarro","LAA",8,11,11,2,2,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0.18181818,9854
2015,"Bryan Anderson","OAK",2,5,4,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0.25,9871
2015,"Jordan Schafer","MIN",10,17,16,5,4,1,0,0,0,1,0,0,2,0,0,1,0,0,0,0.3125,9883
2015,"Jay Bruce","CIN",92,185,166,38,23,9,2,4,4,23,14,0,41,1,4,0,4,0,0,0.22891566,9892
2015,"Colby Rasmus","HOU",71,140,119,30,18,5,0,7,7,16,20,0,42,1,0,0,4,0,0,0.25210084,9893
2015,"Chris Rusin","COL",5,9,9,2,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0.22222222,9895
2015,"Brett Gardner","NYY",94,200,170,47,32,12,0,3,3,22,20,0,41,3,1,6,2,0,0,0.27647059,9927
2015,"Darrell Ceciliani","NYM",5,7,7,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.28571429,9954
2015,"Michael Saunders","TOR",2,4,3,2,2,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0.66666667,9981
2015,"Tyler Matzek","COL",1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10058
2015,"Dustin Ackley","2 Tms",21,27,22,3,2,1,0,0,0,0,3,0,6,0,0,2,0,0,0,0.13636364,10099
2015,"Aroldis Chapman","CIN",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10233
2015,"Brandon Belt","SFG",75,145,129,34,19,10,0,5,5,18,14,0,41,2,0,0,2,0,0,0.26356589,10264
2015,"Oswaldo Arcia","MIN",10,25,23,7,7,0,0,0,0,2,0,0,5,1,1,0,1,0,0,0.30434783,10306
2015,"Slade Heathcott","NYY",2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10336
2015,"Scooter Gennett","MIL",32,36,35,4,3,0,1,0,0,1,0,0,10,1,0,0,2,0,0,0.11428571,10339
