Season,Name,playerId,Team,Bats,G_L,PA_L,AB_L,H_L,1B_L,2B_L,3B_L,HR_L,R_L,RBI_L,BB_L,IBB_L,SO_L,HBP_L,SF_L,SH_L,GDP_L,SB_L,CS_L,AVG_L,G_R,PA_R,AB_R,H_R,1B_R,2B_R,3B_R,HR_R,R_R,RBI_R,BB_R,IBB_R,SO_R,HBP_R,SF_R,SH_R,GDP_R,SB_R,CS_R,AVG_R,BsR,C,Fld,1B,2B,SS,3B,LF,CF,RF,DH
2019.0,Tzu-Wei Lin,14678,Boston,L,2.738095238,7.301587302000001,6.746031746,1.511715797,1.035043012,0.11674045300000001,0.020567562,0.339364771,1.0,1.0,0.5555555560000001,0.0,4.144,0.073015873,0.040564374,0.024338624,0.146031746,0.073015873,0.018253968,0.224089636,6.0375,15.698412699999999,14.25396825,3.488284203,2.7243650789999996,0.13253968300000002,0.052324262999999996,0.579055178,2.0,2.0,1.4444444440000002,0.0,3.769142857,0.156984127,0.08721340400000001,0.052328042000000005,0.313968254,0.156984127,0.039246032,0.244723725,0.0,0.0,0.1,0.0,11.0,7.0,0.0,5.0,0.0,0.0,0.0
2019.0,Victor Caratini,14968,Chicago Cubs,S,18.75,50.0,45.83333333,11.66666667,9.166666667000001,0.166666667,0.166666667,2.166666667,7.0,7.0,4.166666667,0.0,22.8,0.5,0.27777777800000003,0.166666667,1.0,0.5,0.125,0.254545455,37.5,100.0,89.16666667,23.33333333,18.13333333,0.066666667,0.333333333,4.8,15.0,15.0,10.83333333,0.0,22.8,1.0,0.5555555560000001,0.333333333,2.0,1.0,0.25,0.261682243,-0.1,64.0,-0.2,19.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0
2019.0,Victor Reyes,15487,Detroit,S,19.125,51.0,48.77777778,13.0,10.34,0.06,0.185714286,2.414285714,7.0,7.0,2.222222222,0.0,23.214000000000002,0.51,0.283333333,0.17,1.02,2.11,0.5275,0.266514806,38.25,102.0,96.22222222,26.0,20.08,0.2,0.37142857100000004,5.348571429,15.0,15.0,5.777777778,0.0,23.214000000000002,1.02,0.566666667,0.34,2.04,3.02,0.755,0.27020785199999997,0.2,0.0,1.2,0.0,0.0,0.0,0.0,18.0,32.0,103.0,0.0
2019.0,Vimael Machin,17684,Oakland,L,3.571428571,9.523809523999999,8.69047619,1.8140589569999999,1.2020516140000002,0.18008854300000002,0.024681074,0.407237725,1.0,1.0,0.833333333,0.0,5.627999999999999,0.095238095,0.052910053,0.031746032,0.19047619,0.095238095,0.023809524,0.20874103100000002,7.875,20.47619048,18.30952381,4.185941043,3.349238095,0.079047619,0.06278911599999999,0.694866213,3.0,3.0,2.166666667,0.0,5.136,0.204761905,0.113756614,0.068253968,0.40952381,0.204761905,0.051190476,0.22862096699999998,0.0,0.0,0.0,2.0,26.0,2.0,0.0,0.0,0.0,0.0,0.0
2019.0,Whit Merrifield,11281,Kansas City,R,27.5625,73.5,69.33333333,20.58,15.533220000000002,1.7539799999999999,0.3087,2.9841,11.0,11.0,4.166666667,0.0,26.48942857,0.735,0.40833333299999997,0.245,1.47,7.135,1.78375,0.296826923,50.0,136.5,125.66666670000001,35.42,26.16533333,0.146666667,0.48190476200000004,8.626095238,20.0,20.0,10.83333333,0.0,29.746,1.365,0.7583333329999999,0.455,2.73,9.365,2.34125,0.281856764,0.8,0.0,-0.2,0.0,78.0,0.0,0.0,14.0,87.0,32.0,0.0
2019.0,Wil Myers,10047,San Diego,R,26.11875,69.65,63.26111111,15.0675,5.3761075,7.2805925,0.2260125,2.1847875,10.0,10.0,6.3888888889999995,0.0,32.88214286,0.6965,0.386944444,0.232166667,1.393,4.6965,1.174125,0.23817950300000001,47.38095238,129.35,112.73888889999999,25.9325,14.32461905,4.93952381,0.35282312899999996,6.315534014,19.0,19.0,16.61111111,0.0,36.045,1.2935,0.718611111,0.431166667,2.5869999999999997,6.2935,1.573375,0.230022668,0.5,0.0,-0.1,0.0,0.0,0.0,0.0,18.0,2.0,151.0,27.0
2019.0,Wilfredo Tovar,10416,Minnesota,R,60.0,220.0,200.0,50.0,34.0,10.0,1.0,5.0,25.0,25.0,20.0,0.0,50.0,3.0,2.0,0.0,3.0,5.0,1.0,0.25,0.0,220.0,200.0,50.0,34.0,10.0,1.0,5.0,25.0,25.0,20.0,0.0,50.0,3.0,2.0,0.0,3.0,5.0,1.0,0.25,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0
2019.0,Will Craig,sa738696,Pittsburg,R,60.0,220.0,200.0,50.0,34.0,10.0,1.0,5.0,25.0,25.0,20.0,0.0,50.0,3.0,2.0,0.0,3.0,5.0,1.0,0.25,0.0,220.0,200.0,50.0,34.0,10.0,1.0,5.0,25.0,25.0,20.0,0.0,50.0,3.0,2.0,0.0,3.0,5.0,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
2019.0,Will Smith,19197,Los Angeles Dodgers,R,16.14375,43.05,38.88333333,8.82,1.77138,5.63742,0.1323,1.2789,6.0,6.0,4.166666667,0.0,21.215999999999998,0.4305,0.239166667,0.1435,0.861,0.4305,0.107625,0.226832405,29.28571429,79.95,69.11666667,15.18,7.9851428570000005,3.2914285710000004,0.206530612,3.6968979589999997,11.0,11.0,10.83333333,0.0,23.184,0.7995,0.444166667,0.2665,1.599,0.7995,0.199875,0.21962864699999998,0.0,123.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019.0,Willi Castro,17338,Detroit,S,5.375,14.33333333,13.5,3.333333333,2.5333333330000003,0.133333333,0.047619048,0.6190476189999999,2.0,2.0,0.833333333,0.0,6.99,0.143333333,0.07962963,0.047777778,0.286666667,0.143333333,0.035833332999999995,0.24691358,10.75,28.66666667,26.5,6.666666667,5.066666667,0.133333333,0.095238095,1.371428571,4.0,4.0,2.166666667,0.0,6.99,0.286666667,0.15925925900000001,0.095555556,0.573333333,0.286666667,0.071666667,0.251572327,0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0
