Season,Name,playerId,Team,Throws,IP_L,TBF_L,ERA_L,H_L,1B_L,2B_L,3B_L,R_L,ER_L,HR_L,BB_L,IBB_L,HBP_L,SO_L,AVG_L,OBP_L,SLG_L,wOBA_L,IP_R,TBF_R,ERA_R,H_R,1B_R,2B_R,3B_R,R_R,ER_R,HR_R,BB_R,IBB_R,HBP_R,SO_R,AVG_R,OBP_R,SLG_R,wOBA_R,SP,RP
2019.0,Juan Nicasio,7731,Texas,R,0.8,3.36989072,4.746,0.7399973329999999,0.44909537299999996,0.14823529400000002,0.012,0.45139733299999996,0.42186666700000003,0.130666667,0.298666667,0.001493333,0.033698907,0.702645503,0.24361850399999999,0.318218897,0.4293734420000001,0.160068521,1.2,4.950933333,4.304761905,1.045623583,0.648165133,0.201680672,0.018000000000000002,0.6141460320000001,0.573968254,0.177777778,0.406349206,0.002031746,0.049509332999999996,0.774666667,0.232615391,0.303272539,0.404139569,0.15293807199999998,0.0,2.0
2019.0,Julio Teheran,6797,Los Angeles Angels,R,21.6,92.690703,5.5125,20.20635,11.59599706,4.002352941,0.324,14.1561,13.23,4.284,9.576,0.04788,0.92690703,17.82857143,0.245855845,0.331308924,0.458811463,0.163993427,32.4,135.7776,5.0,28.32,16.56005042,5.445378151,0.486,19.26,18.0,5.828571429,13.02857143,0.065142857,1.357776,19.656,0.23329522800000002,0.314531612,0.43020474200000003,0.156065167,54.0,0.0
2019.0,Julio Urias,14765,Los Angeles Dodgers,L,20.4,83.34986667,3.876190476,15.86358277,9.538535147000001,3.428571429,0.306,9.401053968,8.786031746,2.59047619,7.987301587,0.039936507999999996,0.8334986670000001,22.134,0.21285095199999998,0.296153839,0.371339453,0.138582724,30.6,127.41054040000002,4.2735,25.001755499999998,14.5887555,5.67,0.45899999999999996,15.546992999999999,14.5299,4.284,13.209000000000001,0.066045,1.2741054040000002,20.07619048,0.221396647,0.309902625,0.393542592,0.144183756,49.0,2.0
2019.0,Junior Guerra,5702,Arizona,R,8.4,35.42015568,4.788,7.023016,4.164545412,1.556470588,0.126,4.7816160000000005,4.4688,1.176,3.92,0.0196,0.3542015570000001,7.466666667,0.225487265,0.31894884,0.39682478600000004,0.144889045,12.6,52.0296,4.342857143,9.958095238,6.051448178999999,2.1176470590000003,0.18899999999999997,6.5056,6.08,1.6,5.333333333,0.026666667,0.520296,8.232000000000001,0.215655353,0.303898638,0.37365196799999995,0.138849688,0.0,21.0
2019.0,Justin Dunn,19268,Seattle,R,14.8,63.12652066,5.2605,12.93548367,7.381130725,2.742352941,0.222,9.256142,8.6506,2.59,7.079333332999999,0.035396667,0.631265207,13.46878307,0.233425398,0.32705877,0.43113667899999997,0.153559345,22.2,92.5592,4.771428571,18.21641723,10.62851527,3.731092437,0.33299999999999996,12.59339048,11.76952381,3.523809524,9.631746032,0.04815873,0.925592,14.84933333,0.222146385,0.310868669,0.40468518,0.146548365,37.0,0.0
2019.0,Justin Verlander,8700,Houston,R,9.2,37.65038774,3.5805,8.564763000000001,5.219390451000001,1.7047058819999998,0.138,3.916271333,3.6600666669999997,1.502666667,2.254,0.01127,0.37650387700000004,11.39047619,0.24456857199999998,0.297347984,0.42985490600000004,0.165333115,13.8,55.57413333,3.2476190480000002,12.24163265,7.670860478,2.319327731,0.207,5.328260317,4.97968254,2.0444444440000002,3.066666667,0.015333333000000001,0.555741333,12.558,0.23563476600000002,0.285457275,0.40630592299999996,0.158610652,23.0,0.0
2019.0,Justin Wilson,4301,New York Mets,L,8.0,32.45155556,3.5619047619999997,5.134996221000001,2.8238975589999997,1.344537815,0.12,3.3877671960000004,3.166137566,0.846560847,3.978835979,0.01989418,0.32451555600000004,10.26666667,0.182427135,0.290844232,0.32894519899999997,0.11806043,12.0,49.5370596,3.927,7.96802,4.1644905880000005,2.223529412,0.18,5.6025199999999975,5.2360000000000015,1.4,6.58,0.0329,0.495370596,9.312169312,0.18765198,0.303679522,0.34740844600000004,0.121663569,0.0,20.0
2019.0,Justus Sheffield,17285,Seattle,L,18.0,74.664,4.542857143,13.23537415,7.65444978,3.025210084,0.27,9.721714286000001,9.085714286,2.285714286,8.952380952,0.044761905,0.74664,17.01,0.20373090800000002,0.307168048,0.364161236,0.131119562,27.0,114.4631156,5.0085,20.994097500000002,11.80615632,5.002941176,0.405,16.077285,15.0255,3.78,14.805,0.074025,1.144631156,15.42857143,0.213108872,0.322756623,0.38722657,0.136725639,45.0,0.0
2019.0,Keegan Akin,sa873980,Baltimore,L,8.8,37.10471111,5.276190476,6.805865457,3.4255616910000004,1.4789915969999998,0.132,5.520067725,5.158941799,1.769312169,4.656084656,0.023280422999999998,0.37104711100000004,8.418666667,0.212168923,0.318908216,0.4319775320000001,0.145646271,13.2,57.05791476,5.817,10.922362,5.352479647,2.445882353,0.198,9.128812,8.5316,2.926,7.7,0.0385,0.570579148,7.6359788360000005,0.223876993,0.336376491,0.462051146,0.15300113099999998,22.0,0.0
2019.0,Kelvin Herrera,6033,Chicago White Sox,R,1.2,5.10929076,5.187,1.165562,0.6872090590000001,0.22235294100000005,0.018000000000000002,0.740012,0.6916,0.23800000000000002,0.44799999999999995,0.00224,0.051092908,1.13015873,0.252822555,0.32580939,0.46373605,0.169752755,1.8,7.4936,4.704761905,1.637006803,0.983676271,0.302521008,0.027000000000000003,1.0068190479999999,0.9409523809999999,0.32380952399999996,0.60952381,0.003047619,0.074936,1.246,0.240413144,0.309793239,0.43543770600000004,0.161621503,0.0,3.0
