WK,date,DoW,SEA,SF,OAK,LAD,LAA,SD,ARI,COL,TEX,HOU,KC,STL,MIN,MIL,CHC,CHW,DET,CIN,CLE,PIT,TOR,BOS,NYY,NYM,PHI,BAL,WSH,ATL,TB,MIA,Games
24,9/5/2020,Sat,,,TEX,,KC,SF,STL,CLE,,SEA,,,CHW,LAD,CIN,,,,,ATL,TB,DET,,WSH,MIA,NYY,,,,,15
24,9/6/2020,Sun,,,TEX,,KC,SF,STL,CLE,,SEA,,,CHW,LAD,CIN,,,,,ATL,TB,DET,,WSH,MIA,NYY,,,,,15
25,9/7/2020,Mon,,STL,,,HOU,ARI,,CHC,SEA,,OAK,,,LAD,,,,,,,,DET,,,MIA,NYY,,NYM,,,11
25,9/8/2020,Tue,,STL,,,HOU,ARI,,CHC,SEA,,OAK,,,CIN,,LAD,PIT,,MIN,,,,BOS,,WSH,TOR,,NYM,,TB,15
25,9/9/2020,Wed,,STL,,,HOU,ARI,,CHC,SEA,,OAK,,,CIN,,LAD,PIT,,MIN,,,,BOS,,WSH,TOR,,NYM,,TB,15
25,9/10/2020,Thu,,CIN,,,,ARI,,,SEA,,OAK,CHC,,,,LAD,,,MIN,,,,BOS,,WSH,TOR,,,,,10
25,9/11/2020,Fri,OAK,CIN,,ARI,,,,SD,HOU,,CHW,CHC,,,,,MIN,,LAA,NYM,,TB,TOR,,,MIL,,PHI,,WSH,15
25,9/12/2020,Sat,OAK,CIN,,ARI,,,,SD,HOU,,CHW,CHC,,,,,MIN,,LAA,NYM,,TB,TOR,,,MIL,,PHI,,WSH,15
25,9/13/2020,Sun,OAK,CIN,,ARI,,,,SD,HOU,,CHW,CHC,,,,,MIN,,LAA,NYM,,TB,TOR,,,MIL,,PHI,,WSH,15
26,9/14/2020,Mon,SD,,CHW,,,,SF,,,LAA,,,,,PIT,,,,DET,,,,,,,,,,NYY,,7
26,9/15/2020,Tue,SD,,CHW,COL,,,SF,,,LAA,,KC,TEX,ATL,PIT,,,BOS,DET,,PHI,,,MIA,,,BAL,,NYY,,15
26,9/16/2020,Wed,,,CHW,COL,,,SF,,,,,KC,TEX,ATL,PIT,,,BOS,DET,,PHI,,,MIA,,,BAL,,NYY,,13
26,9/17/2020,Thu,CLE,,LAA,,,,SD,,,BAL,,,TEX,ATL,PIT,KC,,STL,,,,,,MIA,,,,,BOS,,11
26,9/18/2020,Fri,CLE,,LAA,SF,,,SD,,,BAL,,,DET,PIT,COL,KC,,STL,,,NYY,,,TEX,ATL,,MIA,,BOS,,15
26,9/19/2020,Sat,CLE,,LAA,SF,,,SD,,,BAL,,,DET,PIT,COL,KC,,STL,,,NYY,,,TEX,ATL,,MIA,,BOS,,15
26,9/20/2020,Sun,CLE,,LAA,SF,,,SD,,,BAL,,,DET,PIT,COL,KC,,STL,,,NYY,,,TEX,ATL,,MIA,,BOS,,15
27,9/21/2020,Mon,,,,,,,,,,,DET,MIL,,,,CLE,,,,,,,HOU,,NYM,TB,,WSH,,CIN,8
27,9/22/2020,Tue,,ARI,,,SEA,MIN,,LAD,OAK,,DET,MIL,,,,CLE,,,,CHC,,TOR,HOU,,NYM,TB,,WSH,,CIN,15
27,9/23/2020,Wed,,ARI,,,SEA,MIN,,LAD,OAK,,DET,MIL,,,,CLE,,,,CHC,,TOR,HOU,,NYM,TB,,WSH,,CIN,15
27,9/24/2020,Thu,,MIL,,,SEA,MIN,,LAD,OAK,,DET,,,,,,,,,CIN,,TOR,HOU,,NYM,TB,,WSH,,,12
27,9/25/2020,Fri,,MIL,,,OAK,LAD,,ARI,SEA,,MIN,,,,STL,,CHW,,TOR,CIN,,BAL,TB,,,,PHI,HOU,,NYM,15
27,9/26/2020,Sat,,MIL,,,OAK,LAD,,ARI,SEA,,MIN,,,,STL,,CHW,,TOR,CIN,,BAL,TB,,,,PHI,HOU,,NYM,15
27,9/27/2020,Sun,,MIL,,,OAK,LAD,,ARI,SEA,,MIN,,,,STL,,CHW,,TOR,CIN,,BAL,TB,,,,PHI,HOU,,NYM,15
