WK,date,DoW,SEA,SF,OAK,LAD,LAA,SD,ARI,COL,TEX,HOU,KC,STL,MIN,MIL,CHC,CHW,DET,CIN,CLE,PIT,TOR,BOS,NYY,NYM,PHI,BAL,WSH,ATL,TB,MIA,Games
6,5/2/2020,Sat,HOU,,TB,,MIN,LAD,CHC,,,,DET,,,STL,,BAL,,,SF,,NYY,TEX,,ATL,COL,,CIN,,,PIT,15
6,5/3/2020,Sun,HOU,,TB,,MIN,LAD,CHC,,,,DET,,,STL,,BAL,,,SF,,NYY,TEX,,ATL,COL,,CIN,,,PIT,15
7,5/4/2020,Mon,,,SEA,CHC,,,,,,,HOU,SD,SF,,,,COL,,TEX,,BAL,,,CIN,ATL,,,,,MIL,11
7,5/5/2020,Tue,,,SEA,CHC,,,,,,,HOU,SD,SF,,,TB,COL,,TEX,,BAL,LAA,PIT,CIN,ATL,,ARI,,,MIL,15
7,5/6/2020,Wed,,,SEA,CHC,,,,,,,HOU,SD,SF,,,TB,COL,,TEX,,BAL,LAA,PIT,CIN,ATL,,ARI,,,MIL,15
7,5/7/2020,Thu,,,,,,,,CIN,,SEA,,,,,,TB,,,TEX,,,LAA,,,,,ARI,,,MIL,7
7,5/8/2020,Fri,,CHW,TOR,SD,,,,CIN,,SEA,,NYM,KC,ARI,WSH,,CLE,,,PHI,,,BOS,,,LAA,,MIA,TEX,,15
7,5/9/2020,Sat,,CHW,TOR,SD,,,,CIN,,SEA,,NYM,KC,ARI,WSH,,CLE,,,PHI,,,BOS,,,LAA,,MIA,TEX,,15
7,5/10/2020,Sun,,CHW,TOR,SD,,,,CIN,,SEA,,NYM,KC,ARI,WSH,,CLE,,,PHI,,,BOS,,,LAA,,MIA,TEX,,15
8,5/11/2020,Mon,,,,,WSH,CHW,NYM,SF,TOR,KC,,,,,MIL,,MIN,MIA,,STL,,,,,,CLE,,,NYY,,12
8,5/12/2020,Tue,OAK,,,,WSH,CHW,NYM,SF,TOR,KC,,,,,MIL,,MIN,MIA,,STL,,,,,LAD,CLE,,BOS,NYY,,15
8,5/13/2020,Wed,OAK,,,,WSH,CHW,NYM,SF,TOR,KC,,,,,MIL,,MIN,MIA,,STL,,,,,LAD,CLE,,BOS,NYY,,15
8,5/14/2020,Thu,OAK,,,,,CHC,WSH,SF,BOS,,,,,,,TOR,MIN,MIL,,,,,,,LAD,,,,NYY,,10
8,5/15/2020,Fri,DET,ATL,,,OAK,CHC,WSH,,BOS,NYY,LAD,,,,,TOR,,MIL,MIN,,,,,PIT,STL,,,,BAL,COL,15
8,5/16/2020,Sat,DET,ATL,,,OAK,CHC,WSH,,BOS,NYY,LAD,,,,,TOR,,MIL,MIN,,,,,PIT,STL,,,,BAL,COL,15
8,5/17/2020,Sun,DET,ATL,,,OAK,CHC,WSH,,BOS,NYY,LAD,,,,,TOR,,MIL,MIN,,,,,PIT,STL,,,,BAL,COL,15
9,5/18/2020,Mon,,,,PHI,,,,,,,LAA,ATL,BAL,,,,,,,,HOU,,,PIT,,,,,,,6
9,5/19/2020,Tue,,DET,TEX,PHI,,,,,,,LAA,ATL,BAL,NYY,,COL,,,CIN,CHC,HOU,TB,,ARI,,,SEA,,,SD,15
9,5/20/2020,Wed,,DET,TEX,PHI,,,,,,,LAA,ATL,BAL,NYY,,COL,,,CIN,CHC,HOU,TB,,ARI,,,SEA,,,SD,15
9,5/21/2020,Thu,,,TEX,,,,,,,,LAA,ATL,CHW,NYY,,,,,,CHC,BAL,TB,,ARI,,,,,,SD,10
9,5/22/2020,Fri,,,LAA,CLE,,,,PHI,,,TEX,ARI,CHW,CHC,,,TB,SD,,SF,BAL,HOU,SEA,,,,MIA,NYM,,,15
9,5/23/2020,Sat,,,LAA,CLE,,,,PHI,,,TEX,ARI,CHW,CHC,,,TB,SD,,SF,BAL,HOU,SEA,,,,MIA,NYM,,,15
